id,chr,type,stage,duplicate_1,duplicate_2,duplicate_3,mean,sd
GG6AChr25Claw10,chr25,claw,E7D,0,0,NA,0,0
GG6AChr25Claw11,chr25,claw,E7D,0,0,NA,0,0
GG6AChr25Claw12,chr25,claw,E7D,0,0,NA,0,0
GG6AChr25Claw2,chr25,claw,E7D,0,0,NA,0,0
GG6AChr25Claw3,chr25,claw,E7D,0,0,NA,0,0
GG6AChr25Claw4,chr25,claw,E7D,0,0,NA,0,0
GG6AChr25Claw5,chr25,claw,E7D,0,0,NA,0,0
GG6AChr25Claw7,chr25,claw,E7D,0,0,NA,0,0
GG6AChr25Claw8,chr25,claw,E7D,0,0,NA,0,0
GG6AChr25Claw9,chr25,claw,E7D,0,0,NA,0,0
GG6AChr25FK1,chr25,FK,E7D,0,0,NA,0,0
GG6AChr25FK10,chr25,FK,E7D,0,0,NA,0,0
GG6AChr25FK14,chr25,FK,E7D,0,0,NA,0,0
GG6AChr25FK2,chr25,FK,E7D,0,0,NA,0,0
GG6AChr25FK3,chr25,FK,E7D,0,0,NA,0,0
GG6AChr25FK4,chr25,FK,E7D,0,0,NA,0,0
GG6AChr25FK5,chr25,FK,E7D,0,0,NA,0,0
GG6AChr25FK6,chr25,FK,E7D,0,0,NA,0,0
GG6AChr25FK7,chr25,FK,E7D,0,0,NA,0,0
GG6AChr25FK8,chr25,FK,E7D,0,0,NA,0,0
GG6AChr25FK9,chr25,FK,E7D,0,0,NA,0,0
GG6AChr25FL1,chr25,FL,E7D,0,0,NA,0,0
GG6AChr25FL2,chr25,FL,E7D,0,0,NA,0,0
GG6AChr25FL4,chr25,FL,E7D,0,0,NA,0,0
GG6AChr25Ktn1,chr25,ktn,E7D,0,0,NA,0,0
GG6AChr25Ktn12,chr25,ktn,E7D,0,0,NA,0,0
GG6AChr25Ktn14,chr25,ktn,E7D,0,0,NA,0,0
GG6AChr25Ktn4,chr25,ktn,E7D,0,0,NA,0,0
GG6AChr25Ktn5,chr25,ktn,E7D,0,0,NA,0,0
GG6AChr25Ktn7,chr25,ktn,E7D,0,0,NA,0,0
GG6AChr25Ktn9,chr25,ktn,E7D,0,0,NA,0,0
GG6AChr25Scale1,chr25,scale,E7D,0,0,NA,0,0
GG6AChr25Scale10,chr25,scale,E7D,0,0,NA,0,0
GG6AChr25Scale11,chr25,scale,E7D,0,0,NA,0,0
GG6AChr25Scale12,chr25,scale,E7D,0,0,NA,0,0
GG6AChr25Scale13,chr25,scale,E7D,0,0,NA,0,0
GG6AChr25Scale14,chr25,scale,E7D,0,0,NA,0,0
GG6AChr25Scale15,chr25,scale,E7D,0,0,NA,0,0
GG6AChr25Scale16,chr25,scale,E7D,0,0,NA,0,0
GG6AChr25Scale17,chr25,scale,E7D,0,0,NA,0,0
GG6AChr25Scale18,chr25,scale,E7D,0,0,NA,0,0
GG6AChr25Scale19,chr25,scale,E7D,0,0,NA,0,0
GG6AChr25Scale2,chr25,scale,E7D,0,0,NA,0,0
GG6AChr25Scale20,chr25,scale,E7D,0,0,NA,0,0
GG6AChr25Scale21,chr25,scale,E7D,0,0,NA,0,0
GG6AChr25Scale3,chr25,scale,E7D,0,0,NA,0,0
GG6AChr25Scale4,chr25,scale,E7D,0,0,NA,0,0
GG6AChr25Scale5,chr25,scale,E7D,0,0,NA,0,0
GG6AChr25Scale6,chr25,scale,E7D,0,0,NA,0,0
GG6AChr25Scale7,chr25,scale,E7D,0,0,NA,0,0
GG6AChr25Scale8,chr25,scale,E7D,0,0,NA,0,0
GG6AChr25Scale9,chr25,scale,E7D,0,0,NA,0,0
GG6AChr27FK1,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK10,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK11,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK12,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK13,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK14,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK15,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK16,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK17,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK18,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK19,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK2,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK20,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK21,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK22,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK23,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK24,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK26,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK27,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK28,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK31,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK32,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK34,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK36,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK37,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK38,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK39,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK4,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK40,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK41,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK42,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK43,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK44,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK45,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK46,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK47,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK48,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK49,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK5,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK50,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK51,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK52,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK53,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK54,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK55,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK56,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK57,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK58,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK59,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK6,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK60,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK61,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK62,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK63,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK64,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK65,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK66,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK67,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK68,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK69,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK7,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK70,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK71,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK72,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK73,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK74,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK75,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK76,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK77,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK78,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK79,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK8,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK80,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK81,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK82,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK83,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK84,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK85,chr27,FK,E7D,0,0,NA,0,0
GG6AChr27FK86,chr27,FK,E7D,0,0,NA,0,0
GG6AChr2FK1,chr2,FK,E7D,0,0,NA,0,0
GG6AChr2FK10,chr2,FK,E7D,0,0,NA,0,0
GG6AChr2FK11,chr2,FK,E7D,0,0,NA,0,0
GG6AChr2FK13,chr2,FK,E7D,0,0,NA,0,0
GG6AChr2FK14,chr2,FK,E7D,0,0,NA,0,0
GG6AChr2FK15,chr2,FK,E7D,0,0,NA,0,0
GG6AChr2FK16,chr2,FK,E7D,0,0,NA,0,0
GG6AChr2FK17,chr2,FK,E7D,0,0,NA,0,0
GG6AChr2FK18,chr2,FK,E7D,0,0,NA,0,0
GG6AChr2FK19,chr2,FK,E7D,0,0,NA,0,0
GG6AChr2FK2,chr2,FK,E7D,0,0,NA,0,0
GG6AChr2FK20,chr2,FK,E7D,0,0,NA,0,0
GG6AChr2FK21,chr2,FK,E7D,0,0,NA,0,0
GG6AChr2FK22,chr2,FK,E7D,0,0,NA,0,0
GG6AChr2FK23,chr2,FK,E7D,0,0,NA,0,0
GG6AChr2FK24,chr2,FK,E7D,0,0,NA,0,0
GG6AChr2FK25,chr2,FK,E7D,0,0,NA,0,0
GG6AChr2FK27,chr2,FK,E7D,0,0,NA,0,0
GG6AChr2FK30,chr2,FK,E7D,0,0,NA,0,0
GG6AChr2FK7,chr2,FK,E7D,0,0,NA,0,0
GG6AChr2FK8,chr2,FK,E7D,0,0,NA,0,0
GG6AChr6BKJ,chr6,BKJ,E7D,0,0,NA,0,0
GG6A_Chr6_BKJ,chr6,BKJ,E7E,0,0,NA,0,0
GG6AChr10FK1,chr10,FK,E7E,0,0,NA,0,0
GG6AChr10FK2,chr10,FK,E7E,0,0,NA,0,0
GG6AChr10FK4,chr10,FK,E7E,0,0,NA,0,0
GG6AChr10FK5,chr10,FK,E7E,0,0,NA,0,0
GG6AChr10FK6,chr10,FK,E7E,0,0,NA,0,0
GG6AChr10FK7,chr10,FK,E7E,0,0,NA,0,0
GG6AChr1FK1,chr1,FK,E7E,0,0,NA,0,0
GG6AChr25Claw1,chr25,claw,E7E,0,0,NA,0,0
GG6AChr25Claw10,chr25,claw,E7E,0,0,NA,0,0
GG6AChr25Claw11,chr25,claw,E7E,0,0,NA,0,0
GG6AChr25Claw12,chr25,claw,E7E,0,0,NA,0,0
GG6AChr25Claw13,chr25,claw,E7E,0,0,NA,0,0
GG6AChr25Claw14,chr25,claw,E7E,0,0,NA,0,0
GG6AChr25Claw2,chr25,claw,E7E,0,0,NA,0,0
GG6AChr25Claw3,chr25,claw,E7E,0,0,NA,0,0
GG6AChr25Claw4,chr25,claw,E7E,0,0,NA,0,0
GG6AChr25Claw5,chr25,claw,E7E,0,0,NA,0,0
GG6AChr25Claw6,chr25,claw,E7E,0,0,NA,0,0
GG6AChr25Claw7,chr25,claw,E7E,0,0,NA,0,0
GG6AChr25Claw8,chr25,claw,E7E,0,0,NA,0,0
GG6AChr25Claw9,chr25,claw,E7E,0,0,NA,0,0
GG6AChr25FK10,chr25,FK,E7E,0,0,NA,0,0
GG6AChr25FK14,chr25,FK,E7E,0,0,NA,0,0
GG6AChr25FK2,chr25,FK,E7E,0,0,NA,0,0
GG6AChr25FK3,chr25,FK,E7E,0,0,NA,0,0
GG6AChr25FK4,chr25,FK,E7E,0,0,NA,0,0
GG6AChr25FK5,chr25,FK,E7E,0,0,NA,0,0
GG6AChr25FK6,chr25,FK,E7E,0,0,NA,0,0
GG6AChr25FK7,chr25,FK,E7E,0,0,NA,0,0
GG6AChr25FK8,chr25,FK,E7E,0,0,NA,0,0
GG6AChr25FK9,chr25,FK,E7E,0,0,NA,0,0
GG6AChr25FL2,chr25,FL,E7E,0,0,NA,0,0
GG6AChr25Ktn1,chr25,ktn,E7E,0,0,NA,0,0
GG6AChr25Ktn10,chr25,ktn,E7E,0,0,NA,0,0
GG6AChr25Ktn12,chr25,ktn,E7E,0,0,NA,0,0
GG6AChr25Ktn14,chr25,ktn,E7E,0,0,NA,0,0
GG6AChr25Ktn3,chr25,ktn,E7E,0,0,NA,0,0
GG6AChr25Ktn4,chr25,ktn,E7E,0,0,NA,0,0
GG6AChr25Ktn5,chr25,ktn,E7E,0,0,NA,0,0
GG6AChr25Ktn6,chr25,ktn,E7E,0,0,NA,0,0
GG6AChr25Ktn7,chr25,ktn,E7E,0,0,NA,0,0
GG6AChr25Ktn8,chr25,ktn,E7E,0,0,NA,0,0
GG6AChr25Ktn9,chr25,ktn,E7E,0,0,NA,0,0
GG6AChr25Scale1,chr25,scale,E7E,0,0,NA,0,0
GG6AChr25Scale10,chr25,scale,E7E,0,0,NA,0,0
GG6AChr25Scale11,chr25,scale,E7E,0,0,NA,0,0
GG6AChr25Scale12,chr25,scale,E7E,0,0,NA,0,0
GG6AChr25Scale13,chr25,scale,E7E,0,0,NA,0,0
GG6AChr25Scale15,chr25,scale,E7E,0,0,NA,0,0
GG6AChr25Scale17,chr25,scale,E7E,0,0,NA,0,0
GG6AChr25Scale2,chr25,scale,E7E,0,0,NA,0,0
GG6AChr25Scale21,chr25,scale,E7E,0,0,NA,0,0
GG6AChr25Scale3,chr25,scale,E7E,0,0,NA,0,0
GG6AChr25Scale4,chr25,scale,E7E,0,0,NA,0,0
GG6AChr25Scale5,chr25,scale,E7E,0,0,NA,0,0
GG6AChr25Scale6,chr25,scale,E7E,0,0,NA,0,0
GG6AChr25Scale8,chr25,scale,E7E,0,0,NA,0,0
GG6AChr25Scale9,chr25,scale,E7E,0,0,NA,0,0
GG6AChr27FK10,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK17,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK2,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK20,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK24,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK31,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK32,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK4,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK44,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK47,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK48,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK49,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK5,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK50,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK51,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK52,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK53,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK54,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK55,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK56,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK57,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK58,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK6,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK60,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK61,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK62,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK63,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK64,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK65,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK66,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK67,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK68,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK7,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK70,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK71,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK72,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK73,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK74,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK75,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK76,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK77,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK78,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK8,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK80,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK81,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK82,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK83,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK84,chr27,FK,E7E,0,0,NA,0,0
GG6AChr27FK85,chr27,FK,E7E,0,0,NA,0,0
GG6AChr2FK10,chr2,FK,E7E,0,0,NA,0,0
GG6AChr2FK14,chr2,FK,E7E,0,0,NA,0,0
GG6AChr2FK17,chr2,FK,E7E,0,0,NA,0,0
GG6AChr2FK18,chr2,FK,E7E,0,0,NA,0,0
GG6AChr2FK19,chr2,FK,E7E,0,0,NA,0,0
GG6AChr2FK2,chr2,FK,E7E,0,0,NA,0,0
GG6AChr2FK21,chr2,FK,E7E,0,0,NA,0,0
GG6AChr2FK24,chr2,FK,E7E,0,0,NA,0,0
GG6AChr2FK25,chr2,FK,E7E,0,0,NA,0,0
GG6AChr2FK26,chr2,FK,E7E,0,0,NA,0,0
GG6AChr2FK27,chr2,FK,E7E,0,0,NA,0,0
GG6AChr2FK7,chr2,FK,E7E,0,0,NA,0,0
GG6AChr6BKJ,chr6,BKJ,E7E,0,0,NA,0,0
GG6AChr7FK,chr7,FK,E7E,0,0,NA,0,0
GG6A_Chr6_BKJ,chr6,BKJ,E9D,0,0,NA,0,0
GG6AChr10FK1,chr10,FK,E9D,0,0,NA,0,0
GG6AChr10FK4,chr10,FK,E9D,0,0,NA,0,0
GG6AChr10FK5,chr10,FK,E9D,0,0,NA,0,0
GG6AChr10FK6,chr10,FK,E9D,0,0,NA,0,0
GG6AChr1FK1,chr1,FK,E9D,0,0,NA,0,0
GG6AChr25Claw10,chr25,claw,E9D,0,0,NA,0,0
GG6AChr25Claw12,chr25,claw,E9D,0,0,NA,0,0
GG6AChr25Claw2,chr25,claw,E9D,0,0,NA,0,0
GG6AChr25Claw4,chr25,claw,E9D,0,0,NA,0,0
GG6AChr25Claw6,chr25,claw,E9D,0,0,NA,0,0
GG6AChr25Claw8,chr25,claw,E9D,0,0,NA,0,0
GG6AChr25Ktn1,chr25,ktn,E9D,0,0,NA,0,0
GG6AChr25Ktn10,chr25,ktn,E9D,0,0,NA,0,0
GG6AChr25Ktn14,chr25,ktn,E9D,0,0,NA,0,0
GG6AChr25Ktn4,chr25,ktn,E9D,0,0,NA,0,0
GG6AChr25Ktn5,chr25,ktn,E9D,0,0,NA,0,0
GG6AChr25Ktn6,chr25,ktn,E9D,0,0,NA,0,0
GG6AChr25Ktn7,chr25,ktn,E9D,0,0,NA,0,0
GG6AChr25Ktn8,chr25,ktn,E9D,0,0,NA,0,0
GG6AChr25Scale1,chr25,scale,E9D,0,0,NA,0,0
GG6AChr25Scale10,chr25,scale,E9D,0,0,NA,0,0
GG6AChr25Scale11,chr25,scale,E9D,0,0,NA,0,0
GG6AChr25Scale12,chr25,scale,E9D,0,0,NA,0,0
GG6AChr25Scale14,chr25,scale,E9D,0,0,NA,0,0
GG6AChr25Scale15,chr25,scale,E9D,0,0,NA,0,0
GG6AChr25Scale18,chr25,scale,E9D,0,0,NA,0,0
GG6AChr25Scale19,chr25,scale,E9D,0,0,NA,0,0
GG6AChr25Scale2,chr25,scale,E9D,0,0,NA,0,0
GG6AChr25Scale20,chr25,scale,E9D,0,0,NA,0,0
GG6AChr25Scale21,chr25,scale,E9D,0,0,NA,0,0
GG6AChr25Scale3,chr25,scale,E9D,0,0,NA,0,0
GG6AChr25Scale6,chr25,scale,E9D,0,0,NA,0,0
GG6AChr25Scale8,chr25,scale,E9D,0,0,NA,0,0
GG6AChr25Scale9,chr25,scale,E9D,0,0,NA,0,0
GG6AChr27FK10,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK11,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK13,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK14,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK15,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK17,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK2,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK20,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK24,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK31,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK34,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK37,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK39,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK4,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK43,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK46,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK48,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK49,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK5,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK50,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK51,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK55,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK57,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK59,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK60,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK62,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK64,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK65,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK66,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK67,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK68,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK69,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK70,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK71,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK72,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK73,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK74,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK75,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK76,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK78,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK8,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK81,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK83,chr27,FK,E9D,0,0,NA,0,0
GG6AChr27FK86,chr27,FK,E9D,0,0,NA,0,0
